query,intent,reference_response,generated_response,Helpfulness,Fluency,Appropriateness,avg_score
i have to check in which cases can i ask for a refund,check_refund_policy,"I've noticed that you're seeking clarity on the cases in which you can request a refund. It's important to know that refund policies may vary depending on the vendor or service provider. However, here are some common situations where you may be eligible for a refund:

1. **Product/Service Defect:** If the product or service you purchased has a defect or doesn't meet your expectations, you may qualify for a refund.
2. **Cancellation within Grace Period:** Many vendors have a grace period during which you can cancel your purchase for a full refund.
3. **Unauthorized Charges:** If you notice any charges on your account that you didn't authorize, it's important to report them to your bank or credit card company and contact the vendor for a refund.
4. **Event Cancellation:** If you bought tickets for an event that gets canceled and isn't rescheduled, you would typically be eligible for a refund.
5. **Non-Delivery of Goods:** If you haven't received your product within the expected delivery timeframe, you should reach out to the vendor or customer support to inquire about a refund.

Remember, these are just general scenarios, and it's always a good idea to review the specific refund policy of the vendor or service provider you made the purchase from. If you have any specific questions or concerns regarding a particular order or refund, please provide me with the necessary details, such as the order number, so I can assist you better.","if you have a problem with your credit card, you can ask for a refund.",2,4,3,3.0
where to request reimbursements,get_refund,"I'm with you, your need to locate the appropriate channel for requesting reimbursements. To ensure the smoothest experience, I recommend reaching out to our dedicated Customer Support team. They will be able to assist you with the necessary steps to initiate your reimbursement request. You can contact them through our website's Live Chat feature, or you can also find the contact information on our Support page. Rest assured, our team is highly trained and ready to guide you through the process, ensuring you receive the support you need.",Request reimbursements,1,1,1,1.0
want help to enter the goddamn delivery address,set_up_shipping_address,"I've understood you're looking for guidance on entering a delivery address. I apologize for any frustration you may have experienced. Let's tackle this issue together. Here are the steps to help you enter your delivery address:

1. Log in to your account.
2. Navigate to the ""Account"" or ""Profile"" section.
3. Look for the ""Shipping Address"" or similar option.
4. Select the option to add a new address or edit your existing address.
5. Enter the details of your delivery address, including the street name, city, state, and postal code.
6. Review the entered information for accuracy and save the changes.

If you're still encountering any issues or need further assistance, please provide specific details about where you're having trouble, and I'll be more than happy to assist you further. Your satisfaction and convenience are important to us, and we're committed to helping you successfully update your delivery address.",want help to enter the goddamn delivery address,1,5,1,2.3333333333333335
can I check purchase {{Order Number}} status?,track_order,Definitely! I'm here to help you check the status of your purchase with the order number {{Order Number}}. Allow me a moment to retrieve the information for you.,Yes,1,5,1,2.3333333333333335
i need supports trying to modify my delivery address,change_shipping_address,"Thank you for contacting us regarding your request to update your shipping address. We are here to assist you with this matter. To update your shipping address, please provide us with the new address details, including the street, city, state, and zip code. Our team will make the necessary changes to ensure your package is delivered to the correct location. If you have any additional questions or require further assistance, please let us know.",[Intent: Change_shipping_address],2,4,3,3.0
where do I cancel purchase {{Order Number}}?,cancel_order,"I'm with you, your need to locate the cancellation option for purchase {{Order Number}}. Here's what you need to do:

1. Access Your Account: Start by signing into your {{Online Company Portal Info}} using your login credentials.
2. Find Your Orders: Once logged in, navigate to your '{{Online Order Interaction}}' or '{{Online Order Interaction}}' section. This is where you can find all your past purchases.
3. Locate the Purchase: Look for the specific purchase with the order number {{Order Number}}. Click on it to open the details.
4. Cancel the Purchase: Within the details of the purchase, there should be an option labeled '{{Online Order Interaction}}'. Please select this option to begin the cancellation process.
5. Follow Any Additional Steps: Depending on the system, there may be some additional prompts or confirmation steps to complete the cancellation.

If you encounter any difficulties during this process or have any further questions, our dedicated support team is available to assist you. Contact them during {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat feature on our website at {{Website URL}}. Your satisfaction is our top priority, and we're here to ensure a seamless cancellation experience for you.",Order Number,1,1,1,1.0
"I can't pay for this item, can I cancel order {{Order Number}}?",cancel_order,"I'm sorry to hear that you're having trouble paying for your order, and I can definitely assist you with canceling order {{Order Number}}. By canceling the order, you won't need to worry about the payment for this particular item. Let me guide you through the cancellation process so that we can resolve this issue for you swiftly and efficiently.

1. Sign into Your Account: Please log in to your {{Online Company Portal Info}} using your credentials.
2. Access Your Order History: Once logged in, navigate to the '{{Online Order Interaction}}' or '{{Online Order Interaction}}' section.
3. Find the Relevant Order: Look for the purchase associated with the order number {{Order Number}}. Click on it to view the order details.
4. Initiate Cancellation: Within the order details, you should see an option to '{{Online Order Interaction}}'. Please click on it to proceed with the cancellation.
5. Confirm the Cancellation: Follow the instructions presented on the screen to confirm the cancellation request.
6. Payment and Refund: Once the cancellation is successful, you will receive the necessary guidance on any pending payments or refunds.

Remember, you can reach out to our dedicated support team at any time during {{Customer Support Hours}} by calling {{Customer Support Phone Number}} or utilizing the Live Chat feature on our {{Website URL}}. We are committed to assisting you throughout this process and ensuring your satisfaction.",No,1,5,1,2.3333333333333335
can you help me to reset the PIN code of my user?,recover_password,"I'll get right on it! I'm here to assist you in resetting the PIN code for your user. Your security and convenience are our utmost priorities, and I'll provide you with the necessary guidance to make this process seamless.

To reset the PIN code, please follow these steps:

1. Start by accessing your user settings page. You can usually find it by clicking on your profile icon or navigating to the settings menu.
2. Look for the ""Security"" or ""Account"" section within your user settings.
3. Within the security/account section, locate the ""PIN Code"" or ""Password"" subsection.
4. Click on the ""Reset PIN Code"" option. This might require you to re-enter your current password for verification.
5. You will then be prompted to enter a new PIN code. Ensure that the PIN code meets the specified requirements, such as length and complexity.
6. Once you've entered and confirmed the new PIN code, save the changes.

These steps should enable you to successfully reset the PIN code for your user. If you encounter any difficulties or have further questions, please don't hesitate to reach out to me. I'm here to provide continuous support and ensure a smooth experience for you.",Can you help me to reset the PIN code?,2,4,3,3.0
how can I cancel the corporate newsletter subscription?,newsletter_subscription,"I realized, you would like to cancel your corporate newsletter subscription. We apologize for any inconvenience this may cause. To cancel your subscription, please visit our website and navigate to the newsletter settings page. There should be an option to unsubscribe from the corporate newsletter. If you have any issues or need further assistance, please let me know.",cancel it,1,1,1,1.0
I do not know what I have to do to get refunds of my money,get_refund,"I can sense that you're seeking guidance on the process to obtain refunds for your money. It's important to note that the specific steps for requesting refunds may vary depending on the company or organization involved. However, I can provide you with some general suggestions to help you get started. Firstly, I recommend reviewing the refund policy of the product or service you've purchased. This information is usually available on the company's website or in the terms and conditions. Once you understand the refund policy, gather all the necessary documentation related to your purchase, such as receipts, order numbers, or any other proof of payment. Next, reach out to the customer support department of the company you made the purchase from. They will be able to guide you further and provide you with the specific instructions on how to initiate the refund process. If you're having trouble finding the appropriate contact information, please provide me with the name of the company, and I'll be glad to assist you in locating the necessary details. Remember, your satisfaction is our utmost priority, and we're committed to helping you through every step of the refund process.",I have to do this to get refunds of my money.,1,1,1,1.0
help checking theearly exit charge,check_cancellation_fee,"Sure, I can assist you in checking the early exit charge for your account. To do so, please log in to your account and navigate to the ""Billing"" section. There, you should be able to find all the details regarding any early exit charges that may apply. If you encounter any issues or need further assistance, feel free to reach out to our customer support team. They will be more than happy to help you with any queries you may have.",check_cancellation_fee,4,5,5,4.666666666666667
I need assistance to submit my feedback about your products,review,"Thank you for choosing to provide feedback on our products! Your thoughts and opinions are invaluable to us as we strive to continuously improve. I'd be more than happy to guide you through the process of submitting your feedback. Could you please let me know your preferred method of submission? We offer various channels such as email, online forms, or even through our customer support team.",I am looking for a product that is good for my needs.,1,2,1,1.3333333333333333
help editing purchase {{Order Number}},change_order,"I've picked up that you need assistance with editing purchase number {{Order Number}}. We apologize for any inconvenience this may have caused. To ensure that your purchase accurately reflects your preferences, could you please provide me with detailed information about the changes you would like to make? This will allow us to promptly address your request and provide a suitable solution. Thank you for your cooperation, and we look forward to resolving this issue for you.",[Intent: change_order],2,4,3,3.0
"my address has changed, I want to edit it",change_shipping_address,"Thank you for letting us know that your address has changed. To edit your shipping address, please follow these steps: 1. Log into your account. 2. Go to the ""My Account"" section. 3. Find the ""Shipping Address"" tab and click on it. 4. Update your address details. 5. Save the changes. If you encounter any issues or have further questions, please don't hesitate to reach out to our customer service team for assistance.",[Intent: Change_shipping_address],2,5,3,3.3333333333333335
i need help seeing if there are any news on the rebate,track_refund,"You're not alone in wanting to stay updated on the latest news regarding your rebate. It's important to us that you receive timely information. Let me quickly check the current status of your rebate and provide you with the most up-to-date news. While I'm doing that, may I ask if you've encountered any difficulties or delays in relation to previous rebates? Your insights are just as valuable to us as your patience. Rest assured, we are committed to ensuring your satisfaction and trust throughout this process.",i need help,1,1,1,1.0
I don't know how to list your allowed payment methods,check_payment_methods,"I appreciate your honesty and seeking assistance. I can definitely guide you in listing our allowed payment methods. We offer a variety of options to ensure convenience for our valued customers. Here is a step-by-step guide on how you can view our available payment methods:

1. Visit our website and navigate to the ""Payment Methods"" or ""Checkout"" page.
2. On the payment page, you will see a list of accepted payment methods displayed.
3. If you would like more details about any specific payment method, simply click on the relevant option to view additional information.

If you encounter any difficulties or have further questions regarding our payment methods, please don't hesitate to reach out to our customer support team. They are available {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}. Rest assured, we are here to assist you every step of the way!",I can't find the payment methods I want.,1,2,1,1.3333333333333333
I have got to restore the password of my account,recover_password,"Absolutely! I'm here to guide you through the process of restoring the password for your account. We understand how important it is for you to regain access. Here's what you can do:

1. Head over to the login page of our platform.
2. Look for the ""Forgot Password"" option and click on it.
3. Provide the email address associated with your account.
4. In a short while, you should receive an email with instructions on how to reset your password. Be sure to check your spam or junk folders if you don't see it in your inbox.
5. Follow the instructions in the email to create a new, secure password for your account.

If you encounter any difficulties or if the email doesn't arrive, don't hesitate to reach out to us. We're here to assist you every step of the way and ensure your account is secure and accessible.",I have to restore the password of my account,1,5,1,2.3333333333333335
need assistance seeing the payment methods,check_payment_methods,"Certainly! I'm here to provide you with the necessary assistance to view our available payment methods. Here's a summary of our accepted options:

- **Credit/Debit Card:** We gladly accept major cards like Visa, Mastercard, and American Express.
- **PayPal:** A popular and secure online payment platform widely used across the globe.
- **Bank Transfer:** This option allows you to make direct payments from your bank account.
- **Apple Pay:** An easy and convenient way for Apple users to make payments.
- **Google Wallet:** Google's reliable and efficient payment system for swift checkouts.

If you have any questions, need further details, or require assistance with any of these methods, please feel free to let me know. Your satisfaction is our top priority, and we're here to support you every step of the way!",Check_Payments,1,1,1,1.0
help me to use the {{Account Type}} profile,switch_account,"Certainly! I'm thrilled to assist you in making the most out of the {{Account Type}} profile:

1. **Access Your Account:** Begin by logging into our platform using your credentials.
2. **Navigate to Profile Options:** Once you're in, locate the '{{Settings}}' or '{{Profile}}' section.
3. **Upgrade to {{Account Type}}:** Look for an option that says '{{Upgrade Account}}' or '{{Account Change}}'.
4. **Select {{Account Type}} Profile:** Choose the '{{Profile Type}}' from the available options.
5. **Finalize the Transition:** Follow the on-screen instructions to complete the switch to the {{Account Type}} profile.

Should you encounter any difficulties or have further questions, please don't hesitate to reach out. I'm here to ensure a seamless experience and maximize the benefits that come with the {{Account Type}} profile. Enjoy the enhanced features and functionalities!""", Account Type,1,1,1,1.0
I want information aboujt shipping periods,delivery_period,"We completely understand your need for information about shipping periods. To provide you with accurate details, could you please provide us with the {{Tracking Number}} or {{Order Number}}? With this information, we can check the estimated shipping period for your order. We appreciate your cooperation in this matter.",[Intent: Delivery_period],1,5,1,2.3333333333333335
would it be possible to submit a different delivery address?,set_up_shipping_address,"Definitely! I understand that you would like to submit a different delivery address. Our system is designed to accommodate changes and modifications to your address information. To submit a different delivery address, please follow these steps:

1. Log in to your account.
2. Navigate to the 'My Account' or 'Profile' section.
3. Look for the 'Shipping Addresses' or a similar option.
4. Choose the address you want to modify.
5. Edit the necessary fields with the new address details.
6. Save the changes.

If you encounter any difficulties or if the process appears different in your account, please let me know, and I'll be glad to assist you further. We are committed to ensuring that your delivery address reflects your requirements accurately.",no,1,5,1,2.3333333333333335
I don't know how I can purchase something,place_order,"I'm glad you contacted us to us for assistance in purchasing something. I understand that you may be unsure of the process, and I'm here to help. Let's break it down step by step so that you can make your purchase with confidence. First, could you please let me know what specific item you are interested in? This will allow me to provide you with the most accurate guidance tailored to your needs.",I can't find anything online.,1,1,1,1.0
getting invoice,get_invoice,"Sure, I understand that you would like assistance with retrieving an invoice. Can you please provide me with more details such as the invoice number or the name of the customer associated with the invoice? This information will help me locate the invoice for you efficiently.",is the process of getting invoices,1,2,1,1.3333333333333333
is it possible toorder from {{Delivery City}},delivery_options,"For sure! We are delighted to cater to customers from various locations, including {{Delivery City}}. You can easily place an order with us and have it delivered right to your doorstep. Our delivery options are designed to provide convenience and flexibility. Whether you prefer standard shipping, expedited shipping, or even in-store pickup, we've got you covered. Just let us know your preferences and we'll ensure a seamless ordering experience for you. If you have any specific questions or need further assistance, feel free to ask. We're here to make your shopping experience from {{Delivery City}} a breeze!",yes,1,5,1,2.3333333333333335
can you help me to see the early exit charge?,check_cancellation_fee,"Absolutely! I'd be more than happy to assist you in viewing the early exit charge. Please provide me with your account details, and I'll retrieve the information for you.",check_cancellation_fee,2,4,3,3.0
find information about a lost password,recover_password,"Definitely! I understand that you're looking for information regarding a lost password. Losing access to an account can be distressing, but worry not, as I'm here to guide you through the process of recovering your password.

To retrieve a lost password, please follow these steps:

1. Visit our platform's login page.
2. Look for the option that says ""Forgot Password"" and click on it.
3. You will then be prompted to enter the email address associated with your account.
4. After submitting your email address, a password reset link will be sent to your inbox. I encourage you to also check your spam or junk folder if you don't see it in your main inbox.
5. Open the email and click on the password reset link provided.
6. A new page will open where you can create a new, secure password for your account. Make sure to choose a password that is easy for you to remember, but difficult for others to guess. It's best to use a combination of uppercase and lowercase letters, numbers, and special characters.
7. Once you have set a new password, make sure to save it in a safe place or use a password manager to remember it.

If you encounter any issues or need further assistance during the password recovery process, please don't hesitate to reach out. We're here to help you regain access to your account efficiently and securely.",a lost password,1,1,1,1.0
I don't know how I could modify my shipping address,change_shipping_address,"No problem at all! I can guide you through the process of modifying your shipping address. First, you'll need to log in to your account on our website. Once you're logged in, navigate to your profile settings where you should find an option to edit your address. Click on that and you will be able to make the necessary changes to your shipping address. If you encounter any issues or need further assistance, feel free to reach out to our customer support team. They'll be more than happy to help you out.",I can't find how to modify my shipping address.,2,4,3,3.0
is it possibleto place an order from {{Delivery City}},delivery_options,"Assuredly! We value customers from all corners of the world, including {{Delivery City}}. You can absolutely place an order with us from {{Delivery City}}. We offer international shipping to ensure that our products reach customers like you, no matter where they are. Simply browse our website, select the items you desire, and follow the checkout process to complete your order. If you have any specific concerns or questions regarding placing an order from {{Delivery City}}, please don't hesitate to ask. We're here to assist you every step of the way!",yes,1,5,1,2.3333333333333335
is it possible to leave feedback about ur products,review,"Indeed! We highly encourage and appreciate your feedback on our products. Your insights play a vital role in our continuous efforts to improve and tailor our offerings to meet your needs and preferences. You have various options to share your feedback with us. You can leave a review on our website or app, participate in customer surveys, or contact our customer support team directly to provide your feedback. Let us know if you need any assistance or have any questions while leaving your feedback. We are here to help!",no,1,5,1,2.3333333333333335
can i send some feedback for a product,review,"Certainly! We greatly value your feedback on our products. Your insights help us improve and enhance our offerings. Please let me know which specific product you would like to provide feedback on, and I'll guide you through the process of sharing your thoughts.",I'm sorry,1,5,1,2.3333333333333335
supports trying to modify theaddress,change_shipping_address,"No problem at all! I understand that you're looking to modify your shipping address. To do that, you can follow these simple steps:

1. Log in to your account on our website.
2. Go to the ""Account"" or ""Profile"" section.
3. Look for the ""Shipping Address"" or ""Delivery Address"" tab.
4. Click on it to edit your current shipping address.
5. Make the necessary changes to your address, such as adding a new address or updating the existing one.
6. Save your changes.

Please note that the exact steps might vary slightly depending on the platform you're using or the website's layout. If you encounter any difficulties or have any specific questions, feel free to reach out to our customer support team for further assistance.",[Intent: Change_shipping_address],2,4,3,3.0
need help to open a freemium account for my daughter,create_account,"How wonderful that you'd like to open a freemium account for your daughter! I'd be delighted to assist you throughout the process. To begin, you can visit our website and navigate to the account creation page. Look for the option to open a freemium account and click on it. You will then be prompted to provide the necessary information, such as your daughter's name, age, and contact details. Rest assured that we prioritize the security and privacy of our customers' information. Once your daughter's account is created, she will have access to our freemium features and benefits. If you have any questions or need further assistance, please feel free to ask. Let's embark on this exciting journey together!",I need help to open a freemium account for my daughter,1,1,1,1.0
i have an issue trying to change my shipping address,change_shipping_address,"I apologize for the inconvenience caused by the issue you're facing while trying to change your shipping address. To assist you further, could you please provide more details about the specific error or difficulty you are encountering?",I have a problem with changing my shipping address.,1,1,1,1.0
I don't know what I have to do to see the delivery options,delivery_options,"Not a problem at all! To view the delivery options available, you can follow these simple steps:

1. Visit our website or open our mobile app.
2. Browse through the products you're interested in.
3. Add the desired items to your cart.
4. Proceed to the checkout page.
5. At the checkout, you should see a section dedicated to delivery options.
6. Click or tap on the delivery options tab to explore the available choices.
7. You'll find detailed information about each option, including estimated delivery times and any associated costs.
8. Select the delivery option that best suits your needs.
9. Complete the checkout process and proceed with your purchase.

If you encounter any difficulties or have further questions during the process, don't hesitate to reach out to our customer support team. We're here to assist you every step of the way!",I have to go to the delivery option,2,3,2,2.3333333333333335
modifying details on freemium account,edit_account,"It's remarkable to see your dedication to modifying the details on your {{Account Category}} account!my goal is to assist you in making these changes smoothly and efficiently. To get started, could you please provide me with more information about the specific details you would like to modify? This will allow me to provide you with accurate guidance tailored to your needs.",[Intent: edit_account],2,4,3,3.0
want help checking what shipment methods you offer,delivery_options,"Ah, a quest for knowledge! Let me assist you in exploring the world of shipment methods we offer:

To check the shipment methods available, you can visit our website and navigate to the shipping or delivery options section. There, you will find a comprehensive list of all the options tailored to meet your needs. You can choose from standard shipping, expedited shipping, overnight shipping, or even the convenience of in-store pickup if it's available in your area.

If you have any specific questions about a particular shipment method or need assistance navigating our website, feel free to ask. I'm here to ensure you have a smooth and satisfying experience with us.",I want to know what shipping methods I have available.,1,4,1,2.0
i do not know how i can open a pro account for my fiance,create_account,"Thank you so much for reaching out to us for assistance in opening a {{Account Type}} account for your fiance. Rest assured, I'm here to guide you through the process step by step. To begin, may I kindly request the following information: your fiance's full name, email address, and a preferred username? With these details, I will be able to initiate the account creation process smoothly. Additionally, I would like to mention that the security and privacy of our customers are of utmost importance to us. Every piece of information shared with us is handled with the highest level of care and protection. If you have any other questions or need further assistance, please don't hesitate to let me know.",i want to open a pro account for my fiance,1,1,1,1.0
open a {{Account Category}} account,create_account,"That's fantastic! Congratulations on choosing to open a {{Account Category}} account. This will unlock a range of exclusive features and benefits designed to enhance your banking experience. To get started, I'll need a few details from you. Please provide your full name, email address, and a preferred username. Once I have this information, I'll guide you through the process step-by-step, ensuring that you have all the necessary information and support along the way. Rest assured, your privacy and security are of utmost importance to us, and we will handle your information with the highest level of care and confidentiality. So, let's begin this exciting journey together!",[Intent: create_account],2,4,3,3.0
can I notify of problems with signup?,registration_problems,"We're here for you with your concerns regarding the signup process. We value your feedback and are here to assist you. Please provide us with more details about the specific issues you encountered during signup so that we can address them appropriately. Your input allows us to continuously improve our services and ensure a seamless experience for all our users. We appreciate your proactive approach in notifying us about the problems, and we are committed to resolving them for you.",No,1,5,1,2.3333333333333335
I need help lodging a consumer claim,complaint,"I'm sorry to hear that you need assistance in lodging a consumer claim. I understand that this can be a frustrating situation, and I'm here to help guide you through the process. To ensure that your claim is properly handled, please provide me with the specific details of your claim and any supporting documentation you may have. Our team will thoroughly review your claim and take the necessary steps to address your concerns. Rest assured that we are committed to resolving this matter in a fair and timely manner.",I need help with a complaint.,2,4,3,3.0
order a few of your article,place_order,"Thank you for your interest in ordering some of our articles! I'm here to assist you with the process. To get started, could you please provide me with the specific articles you would like to order? Once I have all the details, I will guide you through the steps and ensure a seamless ordering experience.",order the items you want to order.,1,4,2,2.3333333333333335
i need assitance to find my bloody bill from {{Person Name}},check_invoice,"I'm with you, your frustration in trying to locate your bill from {{Salutation}} {{Client Last Name}}. Rest assured, I'm here to assist you in finding the information you need. Could you please provide me with any additional details such as the date range or any specific keywords related to the bill? This will help me narrow down the search and provide you with accurate assistance. Don't worry, we'll find that bill together!",Person Name,1,1,1,1.0
assistance giving aquick look at invoice #85632,check_invoice,"I understand your need for a quick look at the details of invoice #{{Invoice Number}}. Let me assist you in locating the relevant information swiftly. Could you please provide me with a bit more context or any additional details that might help me in finding this invoice for you? Rest assured, I am here to ensure that you receive the assistance you need efficiently and effectively.",aquick look at invoice #85632,2,4,3,3.0
